+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 101      | 
| noServices    | 0        | 
| noShipments   | 101      | 
| noBreaks      | 0        | 
| fleetsize     | INFINITE | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 12483.0                                  | 
| noVehicles    | 3                                        | 
| unassgndJobs  | 0                                        | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 1       | vehicle10            | start                 | -               | undef           | 0               | 0               |
| 1       | vehicle10            | pickupShipment        | 0               | 0               | 1               | 0               |
| 1       | vehicle10            | deliverShipment       | 0               | 1               | 1               | 0               |
| 1       | vehicle10            | pickupShipment        | 81              | 1               | 2               | 0               |
| 1       | vehicle10            | pickupShipment        | 26              | 2               | 3               | 0               |
| 1       | vehicle10            | pickupShipment        | 5               | 3               | 4               | 0               |
| 1       | vehicle10            | pickupShipment        | 70              | 4               | 5               | 0               |
| 1       | vehicle10            | pickupShipment        | 35              | 5               | 6               | 0               |
| 1       | vehicle10            | pickupShipment        | 6               | 6               | 7               | 0               |
| 1       | vehicle10            | pickupShipment        | 99              | 7               | 8               | 0               |
| 1       | vehicle10            | pickupShipment        | 74              | 8               | 9               | 0               |
| 1       | vehicle10            | pickupShipment        | 66              | 9               | 10              | 0               |
| 1       | vehicle10            | pickupShipment        | 80              | 10              | 11              | 0               |
| 1       | vehicle10            | deliverShipment       | 26              | 12              | 12              | 346             |
| 1       | vehicle10            | deliverShipment       | 66              | 22              | 22              | 436             |
| 1       | vehicle10            | deliverShipment       | 80              | 24              | 24              | 488             |
| 1       | vehicle10            | deliverShipment       | 74              | 27              | 27              | 526             |
| 1       | vehicle10            | deliverShipment       | 99              | 36              | 36              | 627             |
| 1       | vehicle10            | deliverShipment       | 6               | 37              | 37              | 646             |
| 1       | vehicle10            | deliverShipment       | 35              | 46              | 46              | 711             |
| 1       | vehicle10            | deliverShipment       | 70              | 52              | 52              | 756             |
| 1       | vehicle10            | deliverShipment       | 81              | 62              | 62              | 806             |
| 1       | vehicle10            | pickupShipment        | 48              | 72              | 73              | 978             |
| 1       | vehicle10            | pickupShipment        | 83              | 73              | 74              | 978             |
| 1       | vehicle10            | pickupShipment        | 33              | 74              | 75              | 978             |
| 1       | vehicle10            | pickupShipment        | 88              | 75              | 76              | 978             |
| 1       | vehicle10            | pickupShipment        | 22              | 76              | 77              | 978             |
| 1       | vehicle10            | pickupShipment        | 94              | 77              | 78              | 978             |
| 1       | vehicle10            | pickupShipment        | 31              | 78              | 79              | 978             |
| 1       | vehicle10            | pickupShipment        | 36              | 79              | 80              | 978             |
| 1       | vehicle10            | pickupShipment        | 40              | 80              | 81              | 978             |
| 1       | vehicle10            | deliverShipment       | 48              | 85              | 85              | 1326            |
| 1       | vehicle10            | deliverShipment       | 33              | 91              | 91              | 1415            |
| 1       | vehicle10            | deliverShipment       | 88              | 93              | 93              | 1439            |
| 1       | vehicle10            | deliverShipment       | 22              | 100             | 100             | 1557            |
| 1       | vehicle10            | deliverShipment       | 94              | 101             | 101             | 1643            |
| 1       | vehicle10            | deliverShipment       | 31              | 104             | 104             | 1661            |
| 1       | vehicle10            | deliverShipment       | 40              | 110             | 110             | 1905            |
| 1       | vehicle10            | deliverShipment       | 36              | 114             | 114             | 1969            |
| 1       | vehicle10            | deliverShipment       | 83              | 122             | 122             | 1988            |
