+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 1001     | 
| noServices    | 0        | 
| noShipments   | 1001     | 
| noBreaks      | 0        | 
| fleetsize     | INFINITE | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 124121.0                                 | 
| noVehicles    | 26                                       | 
| unassgndJobs  | 0                                        | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 1       | vehicle10            | start                 | -               | undef           | 0               | 0               |
| 1       | vehicle10            | pickupShipment        | 338             | 0               | 1               | 0               |
| 1       | vehicle10            | deliverShipment       | 338             | 2               | 2               | 56              |
| 1       | vehicle10            | pickupShipment        | 995             | 3               | 4               | 112             |
| 1       | vehicle10            | pickupShipment        | 6               | 4               | 5               | 112             |
| 1       | vehicle10            | pickupShipment        | 686             | 5               | 6               | 112             |
| 1       | vehicle10            | pickupShipment        | 596             | 6               | 7               | 112             |
| 1       | vehicle10            | pickupShipment        | 725             | 7               | 8               | 112             |
| 1       | vehicle10            | pickupShipment        | 133             | 8               | 9               | 112             |
| 1       | vehicle10            | pickupShipment        | 556             | 9               | 10              | 112             |
| 1       | vehicle10            | pickupShipment        | 612             | 10              | 11              | 112             |
| 1       | vehicle10            | pickupShipment        | 0               | 11              | 12              | 112             |
| 1       | vehicle10            | deliverShipment       | 0               | 12              | 12              | 112             |
| 1       | vehicle10            | pickupShipment        | 606             | 12              | 13              | 112             |
| 1       | vehicle10            | pickupShipment        | 204             | 13              | 14              | 112             |
| 1       | vehicle10            | deliverShipment       | 725             | 23              | 23              | 214             |
| 1       | vehicle10            | deliverShipment       | 133             | 25              | 25              | 324             |
| 1       | vehicle10            | deliverShipment       | 596             | 26              | 26              | 474             |
| 1       | vehicle10            | deliverShipment       | 6               | 27              | 27              | 643             |
| 1       | vehicle10            | deliverShipment       | 995             | 33              | 33              | 967             |
| 1       | vehicle10            | deliverShipment       | 686             | 34              | 34              | 1461            |
| 1       | vehicle10            | deliverShipment       | 556             | 43              | 43              | 1506            |
| 1       | vehicle10            | pickupShipment        | 380             | 47              | 48              | 1519            |
| 1       | vehicle10            | pickupShipment        | 838             | 48              | 49              | 1519            |
| 1       | vehicle10            | pickupShipment        | 684             | 49              | 50              | 1519            |
| 1       | vehicle10            | pickupShipment        | 161             | 50              | 51              | 1519            |
| 1       | vehicle10            | pickupShipment        | 241             | 51              | 52              | 1519            |
| 1       | vehicle10            | pickupShipment        | 257             | 52              | 53              | 1519            |
| 1       | vehicle10            | pickupShipment        | 240             | 53              | 54              | 1519            |
| 1       | vehicle10            | deliverShipment       | 240             | 55              | 55              | 2064            |
| 1       | vehicle10            | deliverShipment       | 606             | 57              | 57              | 2095            |
| 1       | vehicle10            | deliverShipment       | 204             | 66              | 66              | 2133            |
| 1       | vehicle10            | deliverShipment       | 380             | 71              | 71              | 2173            |
| 1       | vehicle10            | deliverShipment       | 838             | 80              | 80              | 2207            |
| 1       | vehicle10            | deliverShipment       | 257             | 88              | 88              | 2236            |
| 1       | vehicle10            | deliverShipment       | 612             | 90              | 90              | 2422            |
| 1       | vehicle10            | pickupShipment        | 455             | 92              | 93              | 2605            |
| 1       | vehicle10            | pickupShipment        | 961             | 93              | 94              | 2605            |
| 1       | vehicle10            | pickupShipment        | 157             | 94              | 95              | 2605            |
